change_ms,time_ms,diff_ms
21818.0,21820.408,2.407999999999447
22042.0,22040.408,-1.592000000000553
22058.0,22056.372,-1.6280000000006112
22230.0,22228.481,-1.5190000000002328
22246.0,22244.444,-1.5560000000004948
22589.0,22588.662,-0.33799999999973807
22604.0,22603.628,-0.3719999999993888
23383.0,23382.358,-0.6419999999998254
23398.0,23397.324,-0.6759999999994761
23565.0,23566.44,1.4399999999986903
23578.0,23579.41,1.4099999999998545
23636.0,23634.286,-1.7139999999999418
23652.0,23650.748,-1.2520000000004075
23668.0,23666.712,-1.2880000000004657
23684.0,23682.676,-1.3240000000005239
23964.0,23966.531,2.5309999999990396
23976.0,23978.503,2.503000000000611
24511.0,24512.29,1.2900000000008731
24524.0,24525.261,1.260999999998603
24769.0,24766.712,-2.2880000000004657
24786.0,24783.673,-2.327000000001135
24802.0,24800.635,-1.3650000000016007
24818.0,24816.599,-1.401000000001659
24996.0,24996.689,0.6889999999984866
25010.0,25010.658,0.657999999999447
25929.0,25930.567,1.5669999999990978
25942.0,25943.537,1.537000000000262
26090.0,26090.703,0.7030000000013388
26104.0,26104.671,0.6709999999984575
26210.0,26212.426,2.425999999999476
26222.0,26224.399,2.3990000000012515
26236.0,26236.372,0.3719999999993888
26250.0,26250.34,0.3400000000001455
26755.0,26754.694,-0.30600000000049477
26770.0,26769.66,-0.3400000000001455
27583.0,27584.308,1.3080000000009022
27596.0,27597.279,1.2789999999986321
27613.0,27610.249,-2.7510000000002037
27630.0,27627.71,-2.290000000000873
28125.0,28126.576,1.5760000000009313
28138.0,28139.546,1.5459999999984575
28467.0,28468.299,1.2989999999990687
28480.0,28481.27,1.2700000000004366
28572.0,28572.562,0.5620000000017171
28586.0,28586.531,0.5309999999990396
28788.0,28788.571,0.5709999999999127
28802.0,28802.54,0.5400000000008731
28874.0,28872.381,-1.6189999999987776
28890.0,28888.345,-1.6549999999988358
29714.0,29716.463,2.462999999999738
29726.0,29728.435,2.4350000000013097
29781.0,29782.313,1.3129999999982829
29794.0,29795.283,1.282999999999447
29945.0,29944.444,-0.5560000000004948
29960.0,29959.41,-0.5900000000001455
30010.0,30010.295,0.29499999999825377
30024.0,30024.263,0.26299999999901047
30173.0,30172.426,-0.5740000000005239
30188.0,30187.392,-0.6080000000001746
30202.0,30202.358,0.3580000000001746
30216.0,30216.327,0.32700000000113505
31882.0,31880.544,-1.455999999998312
31898.0,31896.508,-1.4919999999983702
32076.0,32078.594,2.5940000000009604
32088.0,32090.567,2.566999999999098
32190.0,32192.336,2.3359999999993306
32202.0,32204.308,2.308000000000902
32782.0,32782.494,0.49399999999877764
32796.0,32796.463,0.46300000000337604
33026.0,33026.44,0.4400000000023283
33040.0,33040.408,0.408000000003085
34071.0,34068.571,-2.4289999999964493
34088.0,34085.533,-2.466999999996915
34404.0,34402.313,-1.6869999999980791
34420.0,34418.277,-1.7229999999981374
35033.0,35030.385,-2.6149999999979627
35050.0,35047.347,-2.6529999999984284
35432.0,35432.472,0.4720000000015716
35446.0,35446.44,0.4400000000023283
35816.0,35816.599,0.5990000000019791
35830.0,35830.567,0.5670000000027358
35908.0,35906.395,-1.6050000000032014
35924.0,35922.358,-1.6419999999998254
35936.0,35938.322,2.3220000000001164
35948.0,35950.295,2.2949999999982538
36150.0,36150.34,0.33999999999650754
36164.0,36164.308,0.30799999999726424
36469.0,36466.621,-2.379000000000815
36486.0,36483.583,-2.4170000000012806
36500.0,36500.544,0.544000000001688
36514.0,36514.512,0.5120000000024447
36528.0,36528.481,0.48099999999976717
36542.0,36542.449,0.44900000000052387
36684.0,36682.63,-1.3700000000026193
36700.0,36698.594,-1.4060000000026776
37356.0,37356.599,0.5990000000019791
37370.0,37370.567,0.5670000000027358
38356.0,38354.331,-1.669000000001688
38372.0,38370.295,-1.7050000000017462
38389.0,38386.259,-2.7410000000018044
38406.0,38403.719,-2.2810000000026776
40465.0,40464.535,-0.46499999999650754
40480.0,40479.501,-0.49900000000343425
40494.0,40494.467,0.466999999996915
40508.0,40508.435,0.4349999999976717
41060.0,41062.676,2.675999999999476
41072.0,41074.649,2.6489999999976135
41542.0,41544.58,2.5800000000017462
41554.0,41556.553,2.5529999999998836
42299.0,42300.363,1.3629999999975553
42312.0,42313.333,1.3329999999987194
42618.0,42618.639,0.6390000000028522
42632.0,42632.608,0.6080000000001746
42935.0,42936.417,1.4170000000012806
42948.0,42949.388,1.3879999999990105
43565.0,43562.494,-2.5060000000012224
43582.0,43579.456,-2.544000000001688
43803.0,43802.449,-0.5509999999994761
43818.0,43817.415,-0.5849999999991269
43890.0,43888.254,-1.745999999999185
43906.0,43904.717,-1.283000000003085
43920.0,43920.68,0.680000000000291
43934.0,43934.649,0.6489999999976135
44184.0,44186.576,2.5760000000009313
44196.0,44198.549,2.5489999999990687
44484.0,44482.404,-1.59599999999773
44500.0,44498.367,-1.6330000000016298
44810.0,44810.658,0.658000000003085
44824.0,44824.626,0.6259999999965657
45383.0,45382.358,-0.6419999999998254
45398.0,45397.324,-0.6759999999994761
45477.0,45476.644,-0.35599999999976717
45492.0,45491.61,-0.3899999999994179
46192.0,46190.522,-1.478000000002794
46514.0,46511.293,-2.7070000000021537
47100.0,47102.449,2.449000000000524
47112.0,47114.422,2.4219999999986612
48119.0,48116.644,-2.355999999999767
48136.0,48133.605,-2.3949999999967986
49875.0,49874.649,-0.3510000000023865
49890.0,49889.615,-0.38500000000203727
49902.0,49904.58,2.5800000000017462
49914.0,49916.553,2.5529999999998836
50082.0,50084.671,2.6710000000020955
50094.0,50096.644,2.644000000000233
50451.0,50450.34,-0.6600000000034925
50466.0,50465.306,-0.6940000000031432
50591.0,50588.526,-2.474000000001979
50608.0,50605.488,-2.5120000000024447
50623.0,50622.449,-0.5509999999994761
50638.0,50637.415,-0.5849999999991269
51733.0,51732.426,-0.5740000000005239
51748.0,51747.392,-0.6080000000001746
52751.0,52750.612,-0.38799999999901047
52766.0,52765.578,-0.4219999999986612
53579.0,53578.73,-0.2699999999967986
53594.0,53593.696,-0.30399999999644933
53648.0,53646.576,-1.4239999999990687
53664.0,53662.54,-1.4599999999991269
54326.0,54324.535,-1.4649999999965075
54342.0,54340.499,-1.5009999999965657
54608.0,54610.385,2.3850000000020373
54620.0,54622.358,2.3580000000001746
54637.0,54634.331,-2.669000000001688
54654.0,54651.293,-2.7070000000021537
